TRDAR_NM,culture_store_count
내방역 1번,3
이수역 5번,3
방배초등학교,3
경리단길북측,0
경리단길남측,1
중곡초등학교,0
창신역 1번,1
해방촌 남동측,0
해방촌예술마을,0
후암동주민센터,0
서울역 12번,0
삼광초등학교,0
이수역 10번,1
정릉역 2번,0
북한산보국문역 2번,0
마장역 3번,1
삼양사거리역 2번,1
정릉북한산국립공원입구,0
국립4.19민주묘지,0
경신고등학교,0
홍대부중,0
성동세무서,1
남산골공원옆,0
마천1치안센터,0
홍릉근린공원,0
홍제역 2번,0
러스크서울병원,0
종암경찰서,0
홍제역 3번,0
면목역 1번,1
정원여중,0
홍릉시장,0
장안근린공원,0
방화역 3번,0
북가좌초등학교,0
전농119안전센터,1
불광역 8번,0
홍연시장,1
동묘앞역 2번,2
국민대학교앞,0
상계5동주민센터,0
창2동주민센터,0
도봉역 3번,0
영신여고,0
상봉역 4번,3
신내IC북측,0
쌍문초등학교,0
문이교,0
먹골역 1번,2
노원역 9번,0
장위동성당,2
월곡역 4번,0
자양동우체국,0
수유1동주민센터,1
송천동주민센터,0
도봉세무서,0
독립문역 1번,0
답십리공원,0
정곡초등학교,0
남가좌파출소,2
이화달팽이길,0
명지대학교,2
창신역 4번,3
오거리공원,0
종암아이파크2차후문,0
동대부고,0
창덕궁,0
상봉역 7번,3
미아사거리역 3번,0
경희대후문,0
미아초등학교,0
KT월곡지사,0
홍지문,0
신진과학기술고등학교,0
신설동역 12번,3
동의보감타워,0
방화역 1번,0
종암동주민센터,0
삼각산119안전센터,0
서울국제고등학교,0
동덕여대,0
구산초등학교,0
대치2동주민센터,1
정릉역 1번,0
불광역 3번,0
장안중학교,3
응암1동주민센터,0
길음역 8번,0
망우본동주민센터,0
석계역 7번,2
석관고등학교,3
상계3동4동주민센터,0
행당역 2번,2
구산역 2번,0
화랑대역 7번,0
대진고등학교,1
화랑대철도공원,0
장석교회,0
평창동서측,0
신내1동주민센터,0
숭곡초등학교,0
솔밭공원역 1번,0
세검정초등학교,0
은평세무서,0
의릉,2
길음역 10번,0
월계역 3번,0
갈현건영아파트,0
학동근린공원,0
공릉동 국수거리,0
국립국악고등학교,2
불광중학교,0
광운대역 1번,0
고대앞사거리,0
성신여대입구역 7번,0
우리은행체육관,2
선정중학교,0
금동어린이공원,1
포이초등학교(개포목련어린이공원),2
낙성대역 5번(관악중학교),1
인헌고등학교(인헌중학교),0
법제교육센터(버들어린이공원),2
방아다리근린공원(횃불트리니티신학대학원대학교),2
서원동주민센터(신관중학교),2
방배역 2번(백석예술대학교),1
방현초등학교(방배119안전센터),3
가산초등학교(세일중학교),3
관악소방서(문영여고),1
낙성대역 1번(관악구민 종합체육센터),0
상월곡역 3번,2
삼양입구사거리,0
불광역 7번,0
송천초등학교,0
상계초등학교,0
송중초등학교,0
연신내역 2번,0
미아역 8번,1
은평요양병원,0
연신초등학교,0
홍파초등학교,0
공릉역 2번,0
성신여대운정그린캠퍼스,1
세명컴퓨터고등학교,0
수유시장옆,0
창동역 2번,0
4.19민주묘지역 2번,0
효문고등학교,0
솔밭공원역 2번,0
